thresh_nan,thresh_quant,thresh_corr,gamma,batch_size,num_batches,gen_err
0.4,0.9,0.9,0.0005,64,23,0.5538789347883734
0.4,0.9,0.9,0.0005,64,23,0.5538789347883734
0.4,0.9,0.9,0.0005,64,30,0.5525890072995241
0.4,0.9,0.9,0.0005,64,50,0.5506030635561604
0.4,0.9,0.9,0.0005,128,23,0.5514905470070974
0.4,0.9,0.9,0.0005,128,30,0.5500027998890075
0.4,0.9,0.9,0.0005,128,50,0.5499982670009815
0.4,0.9,0.9,0.0005,256,23,0.5471012618557165
0.4,0.9,0.9,0.0005,256,30,0.5493691301443294
0.4,0.9,0.9,0.0005,256,50,0.550137016052828
0.4,0.9,0.9,0.001,64,23,0.5613694830602991
0.4,0.9,0.9,0.001,64,30,0.5595843792998292
0.4,0.9,0.9,0.001,64,50,0.554332222480138
0.4,0.9,0.9,0.001,128,23,0.5585471301659872
